year,state,month,number,date
2012,Amazonas,January,6,1/1/2012
2013,Amazonas,January,37,1/1/2013
2014,Amazonas,January,46,1/1/2014
2015,Amazonas,January,35,1/1/2015
2016,Amazonas,January,770,1/1/2016
2017,Amazonas,January,65,1/1/2017
1998,Amazonas,February,0,1/1/1998
1999,Amazonas,February,43,1/1/1999
2000,Amazonas,February,62,1/1/2000
2001,Amazonas,February,8,1/1/2001
2002,Amazonas,February,2,1/1/2002
2003,Amazonas,February,62,1/1/2003
2004,Amazonas,February,92,1/1/2004
2005,Amazonas,February,6,1/1/2005
2006,Amazonas,February,10,1/1/2006
2007,Amazonas,February,92,1/1/2007
2008,Amazonas,February,32,1/1/2008
2009,Amazonas,February,3,1/1/2009
2010,Amazonas,February,81,1/1/2010
2011,Amazonas,February,30,1/1/2011
2012,Amazonas,February,25,1/1/2012
2013,Amazonas,February,16,1/1/2013
2014,Amazonas,February,49,1/1/2014
2015,Amazonas,February,107,1/1/2015
2016,Amazonas,February,275,1/1/2016
2017,Amazonas,February,52,1/1/2017
1998,Amazonas,March,0,1/1/1998
1999,Amazonas,March,7,1/1/1999
2000,Amazonas,March,69,1/1/2000
2001,Amazonas,March,6,1/1/2001
2002,Amazonas,March,5,1/1/2002
2003,Amazonas,March,64,1/1/2003
2004,Amazonas,March,6,1/1/2004
2005,Amazonas,March,12,1/1/2005
2006,Amazonas,March,20,1/1/2006
2007,Amazonas,March,6,1/1/2007
2008,Amazonas,March,10,1/1/2008
2009,Amazonas,March,11,1/1/2009
2010,Amazonas,March,116,1/1/2010
2011,Amazonas,March,49,1/1/2011
2012,Amazonas,March,17,1/1/2012
2013,Amazonas,March,49,1/1/2013
2014,Amazonas,March,50,1/1/2014
2015,Amazonas,March,46,1/1/2015
2016,Amazonas,March,140,1/1/2016
2017,Amazonas,March,45,1/1/2017
1998,Amazonas,April,0,1/1/1998
1999,Amazonas,April,2,1/1/1999
2000,Amazonas,April,18,1/1/2000
2001,Amazonas,April,1,1/1/2001
2002,Amazonas,April,2,1/1/2002
2003,Amazonas,April,11,1/1/2003
2004,Amazonas,April,4,1/1/2004
2005,Amazonas,April,5,1/1/2005
2006,Amazonas,April,5,1/1/2006
2007,Amazonas,April,0,1/1/2007
2008,Amazonas,April,13,1/1/2008
2009,Amazonas,April,1,1/1/2009
2010,Amazonas,April,11,1/1/2010
2011,Amazonas,April,5,1/1/2011
2012,Amazonas,April,3,1/1/2012
2013,Amazonas,April,20,1/1/2013
2014,Amazonas,April,25,1/1/2014
2015,Amazonas,April,24,1/1/2015
2016,Amazonas,April,22,1/1/2016
2017,Amazonas,April,20,1/1/2017
1998,Amazonas,May,0,1/1/1998
1999,Amazonas,May,0,1/1/1999
2000,Amazonas,May,51,1/1/2000
2001,Amazonas,May,0,1/1/2001
2002,Amazonas,May,8,1/1/2002
2003,Amazonas,May,2,1/1/2003
2004,Amazonas,May,0,1/1/2004
2005,Amazonas,May,8,1/1/2005
2006,Amazonas,May,4,1/1/2006
2007,Amazonas,May,0,1/1/2007
2008,Amazonas,May,1,1/1/2008
2009,Amazonas,May,3,1/1/2009
2010,Amazonas,May,13,1/1/2010
2011,Amazonas,May,6,1/1/2011
2012,Amazonas,May,12,1/1/2012
2013,Amazonas,May,19,1/1/2013
2014,Amazonas,May,12,1/1/2014
2015,Amazonas,May,10,1/1/2015
2016,Amazonas,May,30,1/1/2016
2017,Amazonas,May,40,1/1/2017
1998,Amazonas,June,2,1/1/1998
1999,Amazonas,June,7,1/1/1999
2000,Amazonas,June,6,1/1/2000
2001,Amazonas,June,5,1/1/2001
2002,Amazonas,June,5,1/1/2002
2003,Amazonas,June,3,1/1/2003
2004,Amazonas,June,12,1/1/2004
2005,Amazonas,June,78,1/1/2005
2006,Amazonas,June,9,1/1/2006
2007,Amazonas,June,23,1/1/2007
2008,Amazonas,June,7,1/1/2008
2009,Amazonas,June,13,1/1/2009
2010,Amazonas,June,9,1/1/2010
2011,Amazonas,June,22,1/1/2011
2012,Amazonas,June,45,1/1/2012
2013,Amazonas,June,56,1/1/2013
2014,Amazonas,June,74,1/1/2014
2015,Amazonas,June,33,1/1/2015
2016,Amazonas,June,90,1/1/2016
2017,Amazonas,July,119,1/1/2017
1998,Amazonas,July,71,1/1/1998
1999,Amazonas,July,11,1/1/1999
2000,Amazonas,July,39,1/1/2000
2001,Amazonas,July,9,1/1/2001
2002,Amazonas,July,146,1/1/2002
2003,Amazonas,July,180,1/1/2003
2004,Amazonas,July,177,1/1/2004
2005,Amazonas,July,676,1/1/2005
2006,Amazonas,July,123,1/1/2006
2007,Amazonas,July,116,1/1/2007
2008,Amazonas,July,108,1/1/2008
2009,Amazonas,July,199,1/1/2009
2010,Amazonas,July,640,1/1/2010
2011,Amazonas,July,271,1/1/2011
2012,Amazonas,July,234,1/1/2012
2013,Amazonas,July,248,1/1/2013
2014,Amazonas,July,202,1/1/2014
2015,Amazonas,July,356,1/1/2015
2016,Amazonas,July,1.137,1/1/2016
2017,Amazonas,July,1.975,1/1/2017
1998,Amazonas,August,321,1/1/1998
1999,Amazonas,August,259,1/1/1999
2000,Amazonas,August,180,1/1/2000
2001,Amazonas,August,501,1/1/2001
2002,Amazonas,August,741,1/1/2002
2003,Amazonas,August,1.867,1/1/2003
2004,Amazonas,August,1.207,1/1/2004
2005,Amazonas,August,2.316,1/1/2005
2006,Amazonas,August,1.422,1/1/2006
2007,Amazonas,August,2.241,1/1/2007
2008,Amazonas,August,861,1/1/2008
2009,Amazonas,August,1.321,1/1/2009
2010,Amazonas,August,3.727,1/1/2010
2011,Amazonas,August,1.243,1/1/2011
2012,Amazonas,August,3.011,1/1/2012
2013,Amazonas,August,1.276,1/1/2013
2014,Amazonas,August,3.852,1/1/2014
2015,Amazonas,August,4.564,1/1/2015
2016,Amazonas,August,3.611,1/1/2016
2017,Amazonas,August,6.316,1/1/2017
1998,Amazonas,August,267,1/1/1998
1999,Amazonas,September,216,1/1/1999
2000,Amazonas,September,189,1/1/2000
2001,Amazonas,September,166,1/1/2001
2002,Amazonas,September,928,1/1/2002
2003,Amazonas,September,1.401,1/1/2003
2004,Amazonas,September,911,1/1/2004
2005,Amazonas,September,2.812,1/1/2005
2006,Amazonas,September,2.218,1/1/2006
2007,Amazonas,September,1.36,1/1/2007
2008,Amazonas,September,998,1/1/2008
2009,Amazonas,September,3.091,1/1/2009
2010,Amazonas,September,2.781,1/1/2010
2011,Amazonas,September,1.295,1/1/2011
2012,Amazonas,September,2.392,1/1/2012
2013,Amazonas,September,1.739,1/1/2013
2014,Amazonas,September,3.057,1/1/2014
2015,Amazonas,September,5.882,1/1/2015
2016,Amazonas,September,3.119,1/1/2016
2017,Amazonas,September,4.033,1/1/2017
1998,Amazonas,September,83,1/1/1998
1999,Amazonas,October,479,1/1/1999
2000,Amazonas,October,145,1/1/2000
2001,Amazonas,October,332,1/1/2001
2002,Amazonas,October,695,1/1/2002
2003,Amazonas,October,725,1/1/2003
2004,Amazonas,October,710,1/1/2004
2005,Amazonas,October,545,1/1/2005
2006,Amazonas,October,721,1/1/2006
2007,Amazonas,October,215,1/1/2007
2008,Amazonas,October,632,1/1/2008
2009,Amazonas,October,2.189,1/1/2009
2010,Amazonas,October,889,1/1/2010
2011,Amazonas,October,694,1/1/2011
2012,Amazonas,October,1.238,1/1/2012
2013,Amazonas,October,1.202,1/1/2013
2014,Amazonas,October,952,1/1/2014
2015,Amazonas,October,2.494,1/1/2015
2016,Amazonas,October,2.105,1/1/2016
2017,Amazonas,October,1.581,1/1/2017
1998,Amazonas,November,6,1/1/1998
1999,Amazonas,November,32,1/1/1999
2000,Amazonas,November,27,1/1/2000
2001,Amazonas,November,244,1/1/2001
2002,Amazonas,November,259,1/1/2002
2003,Amazonas,November,169,1/1/2003
2004,Amazonas,November,209,1/1/2004
2005,Amazonas,November,261,1/1/2005
2006,Amazonas,November,59,1/1/2006
2007,Amazonas,November,90,1/1/2007
2008,Amazonas,November,39,1/1/2008
2009,Amazonas,November,973,1/1/2009
2010,Amazonas,November,354,1/1/2010
2011,Amazonas,November,399,1/1/2011
2012,Amazonas,November,682,1/1/2012
2013,Amazonas,November,220,1/1/2013
2014,Amazonas,November,676,1/1/2014
2015,Amazonas,November,1.054,1/1/2015
2016,Amazonas,November,591,1/1/2016
2017,Amazonas,November,552,1/1/2017
1998,Amazonas,November,196,1/1/1998
1999,Amazonas,December,2,1/1/1999
2000,Amazonas,December,60,1/1/2000
2001,Amazonas,December,22,1/1/2001
2002,Amazonas,December,44,1/1/2002
2003,Amazonas,December,147,1/1/2003
2004,Amazonas,December,53,1/1/2004
2005,Amazonas,December,17,1/1/2005
2006,Amazonas,December,23,1/1/2006
2007,Amazonas,December,7,1/1/2007
2008,Amazonas,December,0,1/1/2008
2009,Amazonas,December,102,1/1/2009
2010,Amazonas,December,123,1/1/2010
2011,Amazonas,December,121,1/1/2011
2012,Amazonas,December,80,1/1/2012
2013,Amazonas,December,236,1/1/2013
2014,Amazonas,December,293,1/1/2014
2015,Amazonas,December,565,1/1/2015
2016,Amazonas,December,133,1/1/2016
1998,Bahia,January,0,1/1/1998
1999,Bahia,January,114,1/1/1999
2000,Bahia,January,31,1/1/2000
2001,Bahia,January,24,1/1/2001
2002,Bahia,January,125,1/1/2002
2003,Bahia,January,439,1/1/2003
2004,Bahia,January,158,1/1/2004
2005,Bahia,January,303,1/1/2005
2006,Bahia,January,225,1/1/2006
2007,Bahia,January,373,1/1/2007
2008,Bahia,January,314,1/1/2008
2009,Bahia,January,177,1/1/2009
2010,Bahia,January,297,1/1/2010
2011,Bahia,January,101,1/1/2011
2012,Bahia,January,179,1/1/2012
2013,Bahia,January,125,1/1/2013
2014,Bahia,January,132,1/1/2014
2015,Bahia,January,256,1/1/2015
2016,Bahia,January,285,1/1/2016
2017,Bahia,January,154,1/1/2017
1998,Bahia,February,0,1/1/1998
1999,Bahia,February,157,1/1/1999
2000,Bahia,February,32,1/1/2000
2001,Bahia,February,101,1/1/2001
2002,Bahia,February,204,1/1/2002
2003,Bahia,February,223,1/1/2003
2004,Bahia,February,122,1/1/2004
2005,Bahia,February,143,1/1/2005
2006,Bahia,February,277,1/1/2006
2007,Bahia,February,113,1/1/2007
2008,Bahia,February,235,1/1/2008
2009,Bahia,February,117,1/1/2009
2010,Bahia,February,206,1/1/2010
2011,Bahia,February,156,1/1/2011
2012,Bahia,February,200,1/1/2012
2013,Bahia,February,231,1/1/2013
2014,Bahia,February,107,1/1/2014
2015,Bahia,February,143,1/1/2015
2016,Bahia,February,418,1/1/2016
2017,Bahia,February,100,1/1/2017
1998,Bahia,March,0,1/1/1998
1999,Bahia,March,83,1/1/1999
2000,Bahia,March,65,1/1/2000
2001,Bahia,March,4,1/1/2001
2002,Bahia,March,146,1/1/2002
2003,Bahia,March,274,1/1/2003
2004,Bahia,March,115,1/1/2004
2005,Bahia,March,158,1/1/2005
2006,Bahia,March,199,1/1/2006
2007,Bahia,March,141,1/1/2007
2008,Bahia,March,135,1/1/2008
2009,Bahia,March,249,1/1/2009
2010,Bahia,March,156,1/1/2010
2011,Bahia,March,90,1/1/2011
2012,Bahia,March,404,1/1/2012
2013,Bahia,March,363,1/1/2013
2014,Bahia,March,148,1/1/2014
2015,Bahia,March,229,1/1/2015
2016,Bahia,March,281,1/1/2016
2017,Bahia,March,163,1/1/2017
1998,Bahia,April,0,1/1/1998
1999,Bahia,April,55,1/1/1999
2000,Bahia,April,23,1/1/2000
2001,Bahia,April,26,1/1/2001
2002,Bahia,April,110,1/1/2002
2003,Bahia,April,376,1/1/2003
2004,Bahia,April,89,1/1/2004
2005,Bahia,April,76,1/1/2005
2006,Bahia,April,60,1/1/2006
2007,Bahia,April,64,1/1/2007
2008,Bahia,April,151,1/1/2008
2009,Bahia,April,40,1/1/2009
2010,Bahia,April,103,1/1/2010
2011,Bahia,April,149,1/1/2011
2012,Bahia,April,396,1/1/2012
2013,Bahia,April,108,1/1/2013
2014,Bahia,April,183,1/1/2014
2015,Bahia,April,190,1/1/2015
2016,Bahia,April,217,1/1/2016
2017,Bahia,April,94,1/1/2017
1998,Bahia,May,0,1/1/1998
1999,Bahia,May,76,1/1/1999
2000,Bahia,May,71,1/1/2000
2001,Bahia,May,85,1/1/2001
2002,Bahia,May,166,1/1/2002
2003,Bahia,May,106,1/1/2003
2004,Bahia,May,124,1/1/2004
2005,Bahia,May,120,1/1/2005
2006,Bahia,May,43,1/1/2006
2007,Bahia,May,161,1/1/2007
2008,Bahia,May,56,1/1/2008
2009,Bahia,May,34,1/1/2009
2010,Bahia,May,198,1/1/2010
2011,Bahia,May,189,1/1/2011
2012,Bahia,May,326,1/1/2012
2013,Bahia,May,141,1/1/2013
2014,Bahia,May,224,1/1/2014
2015,Bahia,May,144,1/1/2015
2016,Bahia,May,259,1/1/2016
2017,Bahia,May,121,1/1/2017
1998,Bahia,June,55,1/1/1998
1999,Bahia,June,64,1/1/1999
2000,Bahia,June,178,1/1/2000
2001,Bahia,June,98,1/1/2001
2002,Bahia,June,118,1/1/2002
2003,Bahia,June,140,1/1/2003
2004,Bahia,June,289,1/1/2004
2005,Bahia,June,211,1/1/2005
2006,Bahia,June,68,1/1/2006
2007,Bahia,June,270,1/1/2007
2008,Bahia,June,72,1/1/2008
2009,Bahia,June,92,1/1/2009
2010,Bahia,June,192,1/1/2010
2011,Bahia,June,345,1/1/2011
2012,Bahia,June,385,1/1/2012
2013,Bahia,June,208,1/1/2013
2014,Bahia,July,243,1/1/2014
2015,Bahia,June,242,1/1/2015
2016,Bahia,June,416,1/1/2016
2017,Bahia,July,329,1/1/2017
1998,Bahia,July,219,1/1/1998
1999,Bahia,July,107,1/1/1999
2000,Bahia,July,202,1/1/2000
2001,Bahia,July,248,1/1/2001
2002,Bahia,July,549,1/1/2002
2003,Bahia,July,261,1/1/2003
2004,Bahia,July,310,1/1/2004
2005,Bahia,July,269,1/1/2005
2006,Bahia,July,229,1/1/2006
2007,Bahia,July,811,1/1/2007
2008,Bahia,July,271,1/1/2008
2009,Bahia,July,321,1/1/2009
2010,Bahia,July,519,1/1/2010
2011,Bahia,July,578,1/1/2011
2012,Bahia,July,906,1/1/2012
2013,Bahia,July,362,1/1/2013
2014,Bahia,July,249,1/1/2014
2015,Bahia,July,306,1/1/2015
2016,Bahia,July,345,1/1/2016
2017,Bahia,July,300,1/1/2017
1998,Bahia,August,815,1/1/1998
1999,Bahia,August,453,1/1/1999
2000,Bahia,August,633,1/1/2000
2001,Bahia,August,979,1/1/2001
2002,Bahia,August,1.827,1/1/2002
2003,Bahia,August,1.039,1/1/2003
2004,Bahia,August,1.43,1/1/2004
2005,Bahia,August,948,1/1/2005
2006,Bahia,August,995,1/1/2006
2007,Bahia,August,3.734,1/1/2007
2008,Bahia,August,611,1/1/2008
2009,Bahia,August,439,1/1/2009
2010,Bahia,August,2.423,1/1/2010
2011,Bahia,August,1.795,1/1/2011
2012,Bahia,August,1.835,1/1/2012
2013,Bahia,August,610,1/1/2013
2014,Bahia,August,674,1/1/2014
2015,Bahia,August,829,1/1/2015
2016,Bahia,August,724,1/1/2016
2017,Bahia,August,1.018,1/1/2017
1998,Bahia,September,2.718,1/1/1998
1999,Bahia,September,1.275,1/1/1999
2000,Bahia,September,2.285,1/1/2000
2001,Bahia,September,3.964,1/1/2001
2002,Bahia,September,6.439,1/1/2002
2003,Bahia,September,8.847,1/1/2003
2004,Bahia,September,6.433,1/1/2004
2005,Bahia,September,4.066,1/1/2005
2006,Bahia,September,3.006,1/1/2006
2007,Bahia,September,7.438,1/1/2007
2008,Bahia,September,4.837,1/1/2008
2009,Bahia,September,3.61,1/1/2009
2010,Bahia,September,5.323,1/1/2010
2011,Bahia,September,7.086,1/1/2011
2012,Bahia,September,7.495,1/1/2012
2013,Bahia,September,2.681,1/1/2013
2014,Bahia,September,2.604,1/1/2014
2015,Bahia,September,7.956,1/1/2015
2016,Bahia,September,1.819,1/1/2016
2017,Bahia,September,1.791,1/1/2017
1998,Bahia,October,1.969,1/1/1998
1999,Bahia,October,1.307,1/1/1999
2000,Bahia,October,3.35,1/1/2000
2001,Bahia,October,1.687,1/1/2001
2002,Bahia,October,5.414,1/1/2002
2003,Bahia,October,4.264,1/1/2003
2004,Bahia,October,4.81,1/1/2004
2005,Bahia,October,8.405,1/1/2005
2006,Bahia,October,2.079,1/1/2006
2007,Bahia,October,4.981,1/1/2007
2008,Bahia,October,7.691,1/1/2008
2009,Bahia,October,2.552,1/1/2009
2010,Bahia,October,5.264,1/1/2010
2011,Bahia,October,2.166,1/1/2011
2012,Bahia,October,4.607,1/1/2012
2013,Bahia,October,1.969,1/1/2013
2014,Bahia,October,2.763,1/1/2014
2015,Bahia,October,4.989,1/1/2015
2016,Bahia,October,1.415,1/1/2016
2017,Bahia,October,4.005,1/1/2017
1998,Bahia,November,49,1/1/1998
1999,Bahia,November,49,1/1/1999
2000,Bahia,November,114,1/1/2000
2001,Bahia,November,699,1/1/2001
2002,Bahia,November,1.02,1/1/2002
2003,Bahia,November,533,1/1/2003
2004,Bahia,November,1.736,1/1/2004
2005,Bahia,November,1.595,1/1/2005
2006,Bahia,November,239,1/1/2006
2007,Bahia,November,2.126,1/1/2007
2008,Bahia,November,3.175,1/1/2008
2009,Bahia,November,402,1/1/2009
2010,Bahia,November,605,1/1/2010
2011,Bahia,November,176,1/1/2011
2012,Bahia,November,168,1/1/2012
2013,Bahia,November,288,1/1/2013
2014,Bahia,November,348,1/1/2014
2015,Bahia,November,1.705,1/1/2015
2016,Bahia,November,408,1/1/2016
2017,Bahia,November,174,1/1/2017
1998,Bahia,December,82,1/1/1998
1999,Bahia,December,37,1/1/1999
2000,Bahia,December,24,1/1/2000
2001,Bahia,December,158,1/1/2001
2002,Bahia,December,848,1/1/2002
2003,Bahia,December,710,1/1/2003
2004,Bahia,December,423,1/1/2004
2005,Bahia,December,116,1/1/2005
2006,Bahia,December,169,1/1/2006
2007,Bahia,December,259,1/1/2007
2008,Bahia,December,52,1/1/2008
2009,Bahia,December,308,1/1/2009
2010,Bahia,December,226,1/1/2010
2011,Bahia,December,230,1/1/2011
2012,Bahia,December,477,1/1/2012
2013,Bahia,December,131,1/1/2013
2014,Bahia,December,144,1/1/2014
2015,Bahia,December,1.408,1/1/2015
2016,Bahia,December,164,1/1/2016
1998,Ceara,January,0,1/1/1998
1999,Ceara,January,47,1/1/1999
2000,Ceara,January,1,1/1/2000
2001,Ceara,January,11,1/1/2001
2002,Ceara,January,33,1/1/2002
2003,Ceara,January,264,1/1/2003
2004,Ceara,January,143,1/1/2004
2005,Ceara,January,384,1/1/2005
2006,Ceara,January,211,1/1/2006
2007,Ceara,January,304,1/1/2007
2008,Ceara,January,166,1/1/2008
2009,Ceara,January,347,1/1/2009
2010,Ceara,January,288,1/1/2010
2011,Ceara,January,32,1/1/2011
2012,Ceara,January,273,1/1/2012
2013,Ceara,January,103,1/1/2013
2014,Ceara,January,115,1/1/2014
2015,Ceara,January,207,1/1/2015
2016,Ceara,January,100,1/1/2016
2017,Ceara,January,91,1/1/2017
1998,Ceara,February,0,1/1/1998
1999,Ceara,February,16,1/1/1999
2000,Ceara,February,6,1/1/2000
2001,Ceara,February,0,1/1/2001
2002,Ceara,February,75,1/1/2002
2003,Ceara,February,9,1/1/2003
2004,Ceara,February,5,1/1/2004
2005,Ceara,February,25,1/1/2005
2006,Ceara,February,23,1/1/2006
2007,Ceara,February,3,1/1/2007
2008,Ceara,February,12,1/1/2008
2009,Ceara,February,8,1/1/2009
2010,Ceara,February,63,1/1/2010
2011,Ceara,February,2,1/1/2011
2012,Ceara,February,41,1/1/2012
2013,Ceara,February,49,1/1/2013
2014,Ceara,February,18,1/1/2014
2015,Ceara,February,25,1/1/2015
2016,Ceara,February,13,1/1/2016
2017,Ceara,February,9,1/1/2017
1998,Ceara,March,0,1/1/1998
1999,Ceara,March,30,1/1/1999
2000,Ceara,March,9,1/1/2000
2001,Ceara,March,0,1/1/2001
2002,Ceara,March,17,1/1/2002
2003,Ceara,March,3,1/1/2003
2004,Ceara,March,1,1/1/2004
2005,Ceara,March,5,1/1/2005
2006,Ceara,March,3,1/1/2006
2007,Ceara,March,2,1/1/2007
2008,Ceara,March,2,1/1/2008
2009,Ceara,March,3,1/1/2009
2010,Ceara,March,40,1/1/2010
2011,Ceara,March,6,1/1/2011
2012,Ceara,March,10,1/1/2012
2013,Ceara,March,17,1/1/2013
2014,Ceara,March,6,1/1/2014
2015,Ceara,March,20,1/1/2015
2016,Ceara,March,4,1/1/2016
2017,Ceara,March,4,1/1/2017
1998,Ceara,April,0,1/1/1998
1999,Ceara,April,6,1/1/1999
2000,Ceara,April,15,1/1/2000
2001,Ceara,April,2,1/1/2001
2002,Ceara,April,5,1/1/2002
2003,Ceara,April,3,1/1/2003
2004,Ceara,April,2,1/1/2004
2005,Ceara,April,4,1/1/2005
2006,Ceara,April,1,1/1/2006
2007,Ceara,April,1,1/1/2007
2008,Ceara,April,0,1/1/2008
2009,Ceara,April,0,1/1/2009
2010,Ceara,April,7,1/1/2010
2011,Ceara,April,1,1/1/2011
2012,Ceara,April,2,1/1/2012
2013,Ceara,April,4,1/1/2013
2014,Ceara,April,4,1/1/2014
2015,Ceara,April,3,1/1/2015
2016,Ceara,April,10,1/1/2016
2017,Ceara,April,6,1/1/2017
1998,Ceara,May,0,1/1/1998
1999,Ceara,May,5,1/1/1999
2000,Ceara,May,7,1/1/2000
2001,Ceara,May,81,1/1/2001
2002,Ceara,May,10,1/1/2002
2003,Ceara,May,0,1/1/2003
2004,Ceara,May,3,1/1/2004
2005,Ceara,May,1,1/1/2005
2006,Ceara,May,0,1/1/2006
2007,Ceara,May,0,1/1/2007
2008,Ceara,May,0,1/1/2008
2009,Ceara,May,0,1/1/2009
2010,Ceara,May,2,1/1/2010
2011,Ceara,May,0,1/1/2011
2012,Ceara,May,19,1/1/2012
2013,Ceara,May,4,1/1/2013
2014,Ceara,May,4,1/1/2014
2015,Ceara,May,17,1/1/2015
2016,Ceara,May,8,1/1/2016
2017,Ceara,May,9,1/1/2017
1998,Ceara,June,1,1/1/1998
1999,Ceara,June,16,1/1/1999
2000,Ceara,June,16,1/1/2000
2001,Ceara,June,38,1/1/2001
2002,Ceara,June,13,1/1/2002
2003,Ceara,June,2,1/1/2003
2004,Ceara,June,1,1/1/2004
2005,Ceara,June,6,1/1/2005
2006,Ceara,June,0,1/1/2006
2007,Ceara,June,1,1/1/2007
2008,Ceara,June,1,1/1/2008
2009,Ceara,June,0,1/1/2009
2010,Ceara,June,3,1/1/2010
2011,Ceara,June,5,1/1/2011
2012,Ceara,June,28,1/1/2012
2013,Ceara,June,5,1/1/2013
2014,Ceara,June,19,1/1/2014
2015,Ceara,June,22,1/1/2015
2016,Ceara,June,45,1/1/2016
2017,Ceara,June,23,1/1/2017
1998,Ceara,July,76,1/1/1998
1999,Ceara,July,83,1/1/1999
2000,Ceara,July,18,1/1/2000
2001,Ceara,July,146,1/1/2001
2002,Ceara,July,12,1/1/2002
2003,Ceara,July,14,1/1/2003
2004,Ceara,July,16,1/1/2004
2005,Ceara,July,14,1/1/2005
2006,Ceara,July,1,1/1/2006
2007,Ceara,July,11,1/1/2007
2008,Ceara,July,3,1/1/2008
2009,Ceara,July,7,1/1/2009
2010,Ceara,July,44,1/1/2010
2011,Ceara,July,18,1/1/2011
2012,Ceara,July,50,1/1/2012
2013,Ceara,July,4,1/1/2013
2014,Ceara,July,47,1/1/2014
2015,Ceara,July,25,1/1/2015
2016,Ceara,July,124,1/1/2016
2017,Ceara,July,26,1/1/2017
1998,Ceara,August,93,1/1/1998
1999,Ceara,August,131,1/1/1999
2000,Ceara,August,79,1/1/2000
2001,Ceara,August,219,1/1/2001
2002,Ceara,August,111,1/1/2002
2003,Ceara,August,109,1/1/2003
2004,Ceara,August,61,1/1/2004
2005,Ceara,August,51,1/1/2005
2006,Ceara,August,50,1/1/2006
2007,Ceara,August,182,1/1/2007
2008,Ceara,August,32,1/1/2008
2009,Ceara,August,26,1/1/2009
2010,Ceara,August,202,1/1/2010
2011,Ceara,August,53,1/1/2011
2012,Ceara,August,278,1/1/2012
2013,Ceara,August,32,1/1/2013
2014,Ceara,August,155,1/1/2014
2015,Ceara,August,127,1/1/2015
2016,Ceara,August,293,1/1/2016
2017,Ceara,August,121,1/1/2017
1998,Ceara,September,590,1/1/1998
1999,Ceara,September,124,1/1/1999
2000,Ceara,September,127,1/1/2000
2001,Ceara,September,801,1/1/2001
2002,Ceara,September,172,1/1/2002
2003,Ceara,September,384,1/1/2003
2004,Ceara,September,144,1/1/2004
2005,Ceara,September,185,1/1/2005
2006,Ceara,September,237,1/1/2006
2007,Ceara,September,241,1/1/2007
2008,Ceara,September,177,1/1/2008
2009,Ceara,September,101,1/1/2009
2010,Ceara,September,357,1/1/2010
2011,Ceara,September,239,1/1/2011
2012,Ceara,September,609,1/1/2012
2013,Ceara,September,177,1/1/2013
2014,Ceara,September,155,1/1/2014
2015,Ceara,September,214,1/1/2015
2016,Ceara,September,370,1/1/2016
2017,Ceara,September,505,1/1/2017
1998,Ceara,October,1.014,1/1/1998
1999,Ceara,October,309,1/1/1999
2000,Ceara,October,875,1/1/2000
2001,Ceara,October,2.045,1/1/2001
2002,Ceara,October,1.606,1/1/2002
2003,Ceara,October,1.761,1/1/2003
2004,Ceara,October,1.217,1/1/2004
2005,Ceara,October,1.378,1/1/2005
2006,Ceara,October,581,1/1/2006
2007,Ceara,October,964,1/1/2007
2008,Ceara,October,816,1/1/2008
2009,Ceara,October,435,1/1/2009
2010,Ceara,October,502,1/1/2010
2011,Ceara,October,415,1/1/2011
2012,Ceara,October,1.104,1/1/2012
2013,Ceara,October,466,1/1/2013
2014,Ceara,October,517,1/1/2014
2015,Ceara,October,658,1/1/2015
2016,Ceara,October,1.31,1/1/2016
2017,Ceara,October,949,1/1/2017
1998,Ceara,November,575,1/1/1998
1999,Ceara,November,524,1/1/1999
2000,Ceara,November,669,1/1/2000
2001,Ceara,November,2.456,1/1/2001
2002,Ceara,November,2.715,1/1/2002
2003,Ceara,November,3.327,1/1/2003
2004,Ceara,November,2.9,1/1/2004
2005,Ceara,November,2.483,1/1/2005
2006,Ceara,November,1.012,1/1/2006
2007,Ceara,November,1.443,1/1/2007
2008,Ceara,November,1.753,1/1/2008
2009,Ceara,November,1.653,1/1/2009
2010,Ceara,November,1.652,1/1/2010
2011,Ceara,November,1.561,1/1/2011
2012,Ceara,November,995,1/1/2012
2013,Ceara,November,1.081,1/1/2013
2014,Ceara,November,829,1/1/2014
2015,Ceara,November,1.081,1/1/2015
2016,Ceara,November,1.328,1/1/2016
2017,Ceara,November,812,1/1/2017
1998,Ceara,December,276,1/1/1998
1999,Ceara,December,397,1/1/1999
2000,Ceara,December,389,1/1/2000
2001,Ceara,December,545,1/1/2001
2002,Ceara,December,1.787,1/1/2002
2003,Ceara,December,2.436,1/1/2003
2004,Ceara,December,3.158,1/1/2004
2005,Ceara,December,1.36,1/1/2005
2006,Ceara,December,1.161,1/1/2006
2007,Ceara,December,1.177,1/1/2007
2008,Ceara,December,1.655,1/1/2008
2009,Ceara,December,1.987,1/1/2009
2010,Ceara,December,578,1/1/2010
2011,Ceara,December,1.441,1/1/2011
2012,Ceara,December,631,1/1/2012
2013,Ceara,December,956,1/1/2013
2014,Ceara,December,643,1/1/2014
2015,Ceara,December,1.021,1/1/2015
2016,Ceara,December,819,1/1/2016
1998,Distrito Federal,January,0,1/1/1998
1999,Distrito Federal,January,0,1/1/1999
2000,Distrito Federal,January,0,1/1/2000
2001,Distrito Federal,January,0,1/1/2001
2002,Distrito Federal,January,0,1/1/2002
2003,Distrito Federal,January,0,1/1/2003
2004,Distrito Federal,January,0,1/1/2004
